Serial Number,MY59420041,
Model Number,U1272A,
Remark,-,
Date Time,3/10/2021 2:06:20 PM
 Record,Time,Function,Reading,Range,Unit
2619,3/10/2021 13:21:19.315,Temperature {NONE},59.1, °C,°C
2620,3/10/2021 13:21:20.317,Temperature {NONE},59.0, °C,°C
2621,3/10/2021 13:21:21.317,Temperature {NONE},58.9, °C,°C
2622,3/10/2021 13:21:22.318,Temperature {NONE},58.9, °C,°C
2623,3/10/2021 13:21:23.319,Temperature {NONE},58.9, °C,°C
2624,3/10/2021 13:21:24.320,Temperature {NONE},58.9, °C,°C
2625,3/10/2021 13:21:25.320,Temperature {NONE},58.9, °C,°C
2626,3/10/2021 13:21:26.321,Temperature {NONE},58.9, °C,°C
2627,3/10/2021 13:21:27.322,Temperature {NONE},58.9, °C,°C
2628,3/10/2021 13:21:28.323,Temperature {NONE},58.8, °C,°C
2629,3/10/2021 13:21:29.323,Temperature {NONE},58.8, °C,°C
2630,3/10/2021 13:21:30.325,Temperature {NONE},58.8, °C,°C
2631,3/10/2021 13:21:31.327,Temperature {NONE},58.8, °C,°C
2632,3/10/2021 13:21:32.328,Temperature {NONE},58.8, °C,°C
2633,3/10/2021 13:21:33.328,Temperature {NONE},58.8, °C,°C
2634,3/10/2021 13:21:34.329,Temperature {NONE},58.8, °C,°C
2635,3/10/2021 13:21:35.329,Temperature {NONE},58.8, °C,°C
2636,3/10/2021 13:21:36.330,Temperature {NONE},58.9, °C,°C
2637,3/10/2021 13:21:37.331,Temperature {NONE},58.9, °C,°C
2638,3/10/2021 13:21:38.333,Temperature {NONE},58.9, °C,°C
2639,3/10/2021 13:21:39.333,Temperature {NONE},58.8, °C,°C
2640,3/10/2021 13:21:40.334,Temperature {NONE},58.8, °C,°C
2641,3/10/2021 13:21:41.335,Temperature {NONE},58.8, °C,°C
2642,3/10/2021 13:21:42.336,Temperature {NONE},58.8, °C,°C
2643,3/10/2021 13:21:43.336,Temperature {NONE},58.8, °C,°C
2644,3/10/2021 13:21:44.337,Temperature {NONE},58.7, °C,°C
2645,3/10/2021 13:21:45.338,Temperature {NONE},58.7, °C,°C
2646,3/10/2021 13:21:46.339,Temperature {NONE},58.7, °C,°C
2647,3/10/2021 13:21:47.341,Temperature {NONE},58.7, °C,°C
2648,3/10/2021 13:21:48.342,Temperature {NONE},58.7, °C,°C
2649,3/10/2021 13:21:49.343,Temperature {NONE},58.7, °C,°C
2650,3/10/2021 13:21:50.343,Temperature {NONE},58.7, °C,°C
2651,3/10/2021 13:21:51.344,Temperature {NONE},58.7, °C,°C
2652,3/10/2021 13:21:52.345,Temperature {NONE},58.7, °C,°C
2653,3/10/2021 13:21:53.345,Temperature {NONE},58.8, °C,°C
2654,3/10/2021 13:21:54.347,Temperature {NONE},58.8, °C,°C
2655,3/10/2021 13:21:55.348,Temperature {NONE},58.8, °C,°C
2656,3/10/2021 13:21:56.348,Temperature {NONE},58.8, °C,°C
2657,3/10/2021 13:21:57.349,Temperature {NONE},58.8, °C,°C
2658,3/10/2021 13:21:58.351,Temperature {NONE},58.8, °C,°C
2659,3/10/2021 13:21:59.352,Temperature {NONE},58.8, °C,°C
2660,3/10/2021 13:22:00.353,Temperature {NONE},58.7, °C,°C
2661,3/10/2021 13:22:01.353,Temperature {NONE},58.6, °C,°C
2662,3/10/2021 13:22:02.354,Temperature {NONE},58.6, °C,°C
2663,3/10/2021 13:22:03.355,Temperature {NONE},58.6, °C,°C
2664,3/10/2021 13:22:04.355,Temperature {NONE},58.6, °C,°C
2665,3/10/2021 13:22:05.356,Temperature {NONE},58.7, °C,°C
2666,3/10/2021 13:22:06.356,Temperature {NONE},58.7, °C,°C
2667,3/10/2021 13:22:07.357,Temperature {NONE},58.6, °C,°C
2668,3/10/2021 13:22:08.359,Temperature {NONE},58.6, °C,°C
2669,3/10/2021 13:22:09.360,Temperature {NONE},58.6, °C,°C
2670,3/10/2021 13:22:10.361,Temperature {NONE},58.6, °C,°C
2671,3/10/2021 13:22:11.362,Temperature {NONE},58.6, °C,°C
2672,3/10/2021 13:22:12.364,Temperature {NONE},58.6, °C,°C
2673,3/10/2021 13:22:13.365,Temperature {NONE},58.6, °C,°C
2674,3/10/2021 13:22:14.366,Temperature {NONE},58.5, °C,°C
2675,3/10/2021 13:22:15.367,Temperature {NONE},58.5, °C,°C
2676,3/10/2021 13:22:16.368,Temperature {NONE},58.6, °C,°C
2677,3/10/2021 13:22:17.370,Temperature {NONE},58.6, °C,°C
2678,3/10/2021 13:22:18.371,Temperature {NONE},58.6, °C,°C
2679,3/10/2021 13:22:19.372,Temperature {NONE},58.6, °C,°C
2680,3/10/2021 13:22:20.372,Temperature {NONE},58.6, °C,°C
2681,3/10/2021 13:22:21.373,Temperature {NONE},58.6, °C,°C
2682,3/10/2021 13:22:22.374,Temperature {NONE},58.6, °C,°C
2683,3/10/2021 13:22:23.374,Temperature {NONE},58.6, °C,°C
2684,3/10/2021 13:22:24.376,Temperature {NONE},58.6, °C,°C
2685,3/10/2021 13:22:25.377,Temperature {NONE},58.6, °C,°C
2686,3/10/2021 13:22:26.377,Temperature {NONE},58.6, °C,°C
2687,3/10/2021 13:22:27.378,Temperature {NONE},58.6, °C,°C
2688,3/10/2021 13:22:28.378,Temperature {NONE},58.5, °C,°C
2689,3/10/2021 13:22:29.379,Temperature {NONE},58.5, °C,°C
2690,3/10/2021 13:22:30.381,Temperature {NONE},58.5, °C,°C
2691,3/10/2021 13:22:31.382,Temperature {NONE},58.6, °C,°C
2692,3/10/2021 13:22:32.383,Temperature {NONE},58.6, °C,°C
2693,3/10/2021 13:22:33.384,Temperature {NONE},58.5, °C,°C
2694,3/10/2021 13:22:34.385,Temperature {NONE},58.5, °C,°C
2695,3/10/2021 13:22:35.386,Temperature {NONE},58.5, °C,°C
2696,3/10/2021 13:22:36.388,Temperature {NONE},58.5, °C,°C
2697,3/10/2021 13:22:37.389,Temperature {NONE},58.5, °C,°C
2698,3/10/2021 13:22:38.389,Temperature {NONE},58.5, °C,°C
2699,3/10/2021 13:22:39.389,Temperature {NONE},58.4, °C,°C
2700,3/10/2021 13:22:40.390,Temperature {NONE},58.4, °C,°C
2701,3/10/2021 13:22:41.391,Temperature {NONE},58.4, °C,°C
2702,3/10/2021 13:22:42.392,Temperature {NONE},58.4, °C,°C
2703,3/10/2021 13:22:43.394,Temperature {NONE},58.4, °C,°C
2704,3/10/2021 13:22:44.394,Temperature {NONE},58.4, °C,°C
2705,3/10/2021 13:22:45.395,Temperature {NONE},58.4, °C,°C
2706,3/10/2021 13:22:46.397,Temperature {NONE},58.4, °C,°C
2707,3/10/2021 13:22:47.397,Temperature {NONE},58.4, °C,°C
2708,3/10/2021 13:22:48.397,Temperature {NONE},58.4, °C,°C
2709,3/10/2021 13:22:49.399,Temperature {NONE},58.3, °C,°C
2710,3/10/2021 13:22:50.400,Temperature {NONE},58.1, °C,°C
2711,3/10/2021 13:22:51.400,Temperature {NONE},58.2, °C,°C
2712,3/10/2021 13:22:52.401,Temperature {NONE},58.3, °C,°C
2713,3/10/2021 13:22:53.403,Temperature {NONE},58.4, °C,°C
2714,3/10/2021 13:22:54.404,Temperature {NONE},58.5, °C,°C
2715,3/10/2021 13:22:55.405,Temperature {NONE},58.5, °C,°C
2716,3/10/2021 13:22:56.406,Temperature {NONE},58.5, °C,°C
2717,3/10/2021 13:22:57.407,Temperature {NONE},58.5, °C,°C
2718,3/10/2021 13:22:58.407,Temperature {NONE},58.5, °C,°C
2719,3/10/2021 13:22:59.408,Temperature {NONE},58.5, °C,°C
2720,3/10/2021 13:23:00.408,Temperature {NONE},58.4, °C,°C
2721,3/10/2021 13:23:01.409,Temperature {NONE},58.4, °C,°C
2722,3/10/2021 13:23:02.411,Temperature {NONE},58.4, °C,°C
2723,3/10/2021 13:23:03.412,Temperature {NONE},58.4, °C,°C
2724,3/10/2021 13:23:04.412,Temperature {NONE},58.4, °C,°C
2725,3/10/2021 13:23:05.413,Temperature {NONE},58.4, °C,°C
2726,3/10/2021 13:23:06.415,Temperature {NONE},58.4, °C,°C
2727,3/10/2021 13:23:07.416,Temperature {NONE},58.4, °C,°C
2728,3/10/2021 13:23:08.417,Temperature {NONE},58.4, °C,°C
2729,3/10/2021 13:23:09.419,Temperature {NONE},58.3, °C,°C
2730,3/10/2021 13:23:10.419,Temperature {NONE},58.3, °C,°C
2731,3/10/2021 13:23:11.420,Temperature {NONE},58.2, °C,°C
2732,3/10/2021 13:23:12.422,Temperature {NONE},58.3, °C,°C
2733,3/10/2021 13:23:13.423,Temperature {NONE},58.2, °C,°C
2734,3/10/2021 13:23:14.423,Temperature {NONE},58.0, °C,°C
2735,3/10/2021 13:23:15.424,Temperature {NONE},58.1, °C,°C
2736,3/10/2021 13:23:16.425,Temperature {NONE},58.1, °C,°C
2737,3/10/2021 13:23:17.426,Temperature {NONE},58.1, °C,°C
2738,3/10/2021 13:23:18.428,Temperature {NONE},58.2, °C,°C
2739,3/10/2021 13:23:19.429,Temperature {NONE},58.2, °C,°C
2740,3/10/2021 13:23:20.430,Temperature {NONE},58.2, °C,°C
2741,3/10/2021 13:23:21.430,Temperature {NONE},58.3, °C,°C
2742,3/10/2021 13:23:22.431,Temperature {NONE},58.3, °C,°C
2743,3/10/2021 13:23:23.432,Temperature {NONE},58.2, °C,°C
2744,3/10/2021 13:23:24.433,Temperature {NONE},58.2, °C,°C
2745,3/10/2021 13:23:25.434,Temperature {NONE},58.2, °C,°C
2746,3/10/2021 13:23:26.435,Temperature {NONE},58.2, °C,°C
2747,3/10/2021 13:23:27.436,Temperature {NONE},58.2, °C,°C
2748,3/10/2021 13:23:28.438,Temperature {NONE},58.2, °C,°C
2749,3/10/2021 13:23:29.439,Temperature {NONE},58.1, °C,°C
2750,3/10/2021 13:23:30.439,Temperature {NONE},58.1, °C,°C
2751,3/10/2021 13:23:31.440,Temperature {NONE},58.1, °C,°C
2752,3/10/2021 13:23:32.442,Temperature {NONE},58.1, °C,°C
2753,3/10/2021 13:23:33.443,Temperature {NONE},58.1, °C,°C
2754,3/10/2021 13:23:34.444,Temperature {NONE},58.2, °C,°C
2755,3/10/2021 13:23:35.445,Temperature {NONE},58.1, °C,°C
2756,3/10/2021 13:23:36.445,Temperature {NONE},58.1, °C,°C
2757,3/10/2021 13:23:37.446,Temperature {NONE},58.1, °C,°C
2758,3/10/2021 13:23:38.447,Temperature {NONE},58.1, °C,°C
2759,3/10/2021 13:23:39.448,Temperature {NONE},58.0, °C,°C
2760,3/10/2021 13:23:40.449,Temperature {NONE},57.9, °C,°C
2761,3/10/2021 13:23:41.451,Temperature {NONE},57.9, °C,°C
2762,3/10/2021 13:23:42.452,Temperature {NONE},57.9, °C,°C
2763,3/10/2021 13:23:43.453,Temperature {NONE},58.0, °C,°C
2764,3/10/2021 13:23:44.453,Temperature {NONE},57.9, °C,°C
2765,3/10/2021 13:23:45.454,Temperature {NONE},57.9, °C,°C
2766,3/10/2021 13:23:46.455,Temperature {NONE},58.0, °C,°C
2767,3/10/2021 13:23:47.456,Temperature {NONE},58.0, °C,°C
2768,3/10/2021 13:23:48.456,Temperature {NONE},58.0, °C,°C
2769,3/10/2021 13:23:49.458,Temperature {NONE},58.0, °C,°C
2770,3/10/2021 13:23:50.459,Temperature {NONE},58.0, °C,°C
2771,3/10/2021 13:23:51.460,Temperature {NONE},58.0, °C,°C
2772,3/10/2021 13:23:52.460,Temperature {NONE},58.0, °C,°C
2773,3/10/2021 13:23:53.463,Temperature {NONE},58.0, °C,°C
2774,3/10/2021 13:23:54.465,Temperature {NONE},57.9, °C,°C
2775,3/10/2021 13:23:55.466,Temperature {NONE},57.9, °C,°C
2776,3/10/2021 13:23:56.467,Temperature {NONE},57.9, °C,°C
2777,3/10/2021 13:23:57.469,Temperature {NONE},57.9, °C,°C
2778,3/10/2021 13:23:58.470,Temperature {NONE},57.9, °C,°C
2779,3/10/2021 13:23:59.471,Temperature {NONE},58.0, °C,°C
2780,3/10/2021 13:24:00.472,Temperature {NONE},58.0, °C,°C
2781,3/10/2021 13:24:01.474,Temperature {NONE},57.9, °C,°C
2782,3/10/2021 13:24:02.474,Temperature {NONE},57.9, °C,°C
2783,3/10/2021 13:24:03.476,Temperature {NONE},57.9, °C,°C
2784,3/10/2021 13:24:04.476,Temperature {NONE},57.9, °C,°C
2785,3/10/2021 13:24:05.478,Temperature {NONE},57.9, °C,°C
2786,3/10/2021 13:24:06.479,Temperature {NONE},58.0, °C,°C
2787,3/10/2021 13:24:07.480,Temperature {NONE},58.0, °C,°C
2788,3/10/2021 13:24:08.481,Temperature {NONE},58.0, °C,°C
2789,3/10/2021 13:24:09.481,Temperature {NONE},58.0, °C,°C
2790,3/10/2021 13:24:10.482,Temperature {NONE},58.0, °C,°C
2791,3/10/2021 13:24:11.483,Temperature {NONE},58.0, °C,°C
2792,3/10/2021 13:24:12.484,Temperature {NONE},58.0, °C,°C
2793,3/10/2021 13:24:13.486,Temperature {NONE},58.0, °C,°C
2794,3/10/2021 13:24:14.488,Temperature {NONE},57.9, °C,°C
2795,3/10/2021 13:24:15.488,Temperature {NONE},58.0, °C,°C
2796,3/10/2021 13:24:16.489,Temperature {NONE},58.0, °C,°C
2797,3/10/2021 13:24:17.490,Temperature {NONE},58.0, °C,°C
2798,3/10/2021 13:24:18.490,Temperature {NONE},58.0, °C,°C
2799,3/10/2021 13:24:19.491,Temperature {NONE},58.0, °C,°C
2800,3/10/2021 13:24:20.492,Temperature {NONE},58.0, °C,°C
2801,3/10/2021 13:24:21.494,Temperature {NONE},58.0, °C,°C
2802,3/10/2021 13:24:22.494,Temperature {NONE},58.0, °C,°C
2803,3/10/2021 13:24:23.495,Temperature {NONE},58.0, °C,°C
2804,3/10/2021 13:24:24.495,Temperature {NONE},58.0, °C,°C
2805,3/10/2021 13:24:25.497,Temperature {NONE},58.0, °C,°C
2806,3/10/2021 13:24:26.498,Temperature {NONE},58.0, °C,°C
2807,3/10/2021 13:24:27.500,Temperature {NONE},57.9, °C,°C
2808,3/10/2021 13:24:28.500,Temperature {NONE},57.9, °C,°C
2809,3/10/2021 13:24:29.501,Temperature {NONE},57.9, °C,°C
2810,3/10/2021 13:24:30.502,Temperature {NONE},57.9, °C,°C
2811,3/10/2021 13:24:31.504,Temperature {NONE},57.9, °C,°C
2812,3/10/2021 13:24:32.505,Temperature {NONE},57.9, °C,°C
2813,3/10/2021 13:24:33.506,Temperature {NONE},57.9, °C,°C
2814,3/10/2021 13:24:34.507,Temperature {NONE},57.9, °C,°C
2815,3/10/2021 13:24:35.507,Temperature {NONE},57.9, °C,°C
2816,3/10/2021 13:24:36.508,Temperature {NONE},57.9, °C,°C
2817,3/10/2021 13:24:37.510,Temperature {NONE},57.9, °C,°C
2818,3/10/2021 13:24:38.510,Temperature {NONE},57.9, °C,°C
2819,3/10/2021 13:24:39.511,Temperature {NONE},57.8, °C,°C
2820,3/10/2021 13:24:40.512,Temperature {NONE},57.8, °C,°C
2821,3/10/2021 13:24:41.513,Temperature {NONE},57.8, °C,°C
2822,3/10/2021 13:24:42.514,Temperature {NONE},57.8, °C,°C
2823,3/10/2021 13:24:43.516,Temperature {NONE},57.8, °C,°C
2824,3/10/2021 13:24:44.516,Temperature {NONE},57.8, °C,°C
2825,3/10/2021 13:24:45.517,Temperature {NONE},57.8, °C,°C
2826,3/10/2021 13:24:46.518,Temperature {NONE},57.8, °C,°C
2827,3/10/2021 13:24:47.520,Temperature {NONE},57.8, °C,°C
2828,3/10/2021 13:24:48.521,Temperature {NONE},57.7, °C,°C
2829,3/10/2021 13:24:49.522,Temperature {NONE},57.8, °C,°C
2830,3/10/2021 13:24:50.524,Temperature {NONE},57.7, °C,°C
2831,3/10/2021 13:24:51.524,Temperature {NONE},57.7, °C,°C
2832,3/10/2021 13:24:52.526,Temperature {NONE},57.7, °C,°C
2833,3/10/2021 13:24:53.526,Temperature {NONE},57.7, °C,°C
2834,3/10/2021 13:24:54.527,Temperature {NONE},57.7, °C,°C
2835,3/10/2021 13:24:55.528,Temperature {NONE},57.7, °C,°C
2836,3/10/2021 13:24:56.529,Temperature {NONE},57.7, °C,°C
2837,3/10/2021 13:24:57.530,Temperature {NONE},57.7, °C,°C
2838,3/10/2021 13:24:58.531,Temperature {NONE},57.7, °C,°C
2839,3/10/2021 13:24:59.532,Temperature {NONE},57.6, °C,°C
2840,3/10/2021 13:25:00.533,Temperature {NONE},57.6, °C,°C
2841,3/10/2021 13:25:01.534,Temperature {NONE},57.6, °C,°C
2842,3/10/2021 13:25:02.535,Temperature {NONE},57.6, °C,°C
2843,3/10/2021 13:25:03.536,Temperature {NONE},57.6, °C,°C
2844,3/10/2021 13:25:04.538,Temperature {NONE},57.6, °C,°C
2845,3/10/2021 13:25:05.539,Temperature {NONE},57.6, °C,°C
2846,3/10/2021 13:25:06.540,Temperature {NONE},57.6, °C,°C
2847,3/10/2021 13:25:07.542,Temperature {NONE},57.6, °C,°C
2848,3/10/2021 13:25:08.543,Temperature {NONE},57.6, °C,°C
2849,3/10/2021 13:25:09.544,Temperature {NONE},57.5, °C,°C
2850,3/10/2021 13:25:10.545,Temperature {NONE},57.5, °C,°C
2851,3/10/2021 13:25:11.545,Temperature {NONE},57.5, °C,°C
2852,3/10/2021 13:25:12.547,Temperature {NONE},57.6, °C,°C
2853,3/10/2021 13:25:13.548,Temperature {NONE},57.6, °C,°C
2854,3/10/2021 13:25:14.549,Temperature {NONE},57.6, °C,°C
2855,3/10/2021 13:25:15.551,Temperature {NONE},57.6, °C,°C
2856,3/10/2021 13:25:16.551,Temperature {NONE},57.6, °C,°C
2857,3/10/2021 13:25:17.552,Temperature {NONE},57.5, °C,°C
2858,3/10/2021 13:25:18.554,Temperature {NONE},57.5, °C,°C
2859,3/10/2021 13:25:19.555,Temperature {NONE},57.5, °C,°C
2860,3/10/2021 13:25:20.556,Temperature {NONE},57.4, °C,°C
2861,3/10/2021 13:25:21.557,Temperature {NONE},57.4, °C,°C
2862,3/10/2021 13:25:22.558,Temperature {NONE},57.4, °C,°C
2863,3/10/2021 13:25:23.559,Temperature {NONE},57.5, °C,°C
2864,3/10/2021 13:25:24.560,Temperature {NONE},57.5, °C,°C
2865,3/10/2021 13:25:25.560,Temperature {NONE},57.4, °C,°C
2866,3/10/2021 13:25:26.561,Temperature {NONE},57.5, °C,°C
2867,3/10/2021 13:25:27.563,Temperature {NONE},57.4, °C,°C
2868,3/10/2021 13:25:28.564,Temperature {NONE},57.4, °C,°C
2869,3/10/2021 13:25:29.566,Temperature {NONE},57.4, °C,°C
2870,3/10/2021 13:25:30.567,Temperature {NONE},57.4, °C,°C
2871,3/10/2021 13:25:31.569,Temperature {NONE},57.5, °C,°C
2872,3/10/2021 13:25:32.570,Temperature {NONE},57.5, °C,°C
2873,3/10/2021 13:25:33.571,Temperature {NONE},57.5, °C,°C
2874,3/10/2021 13:25:34.572,Temperature {NONE},57.5, °C,°C
2875,3/10/2021 13:25:35.573,Temperature {NONE},57.5, °C,°C
2876,3/10/2021 13:25:36.574,Temperature {NONE},57.5, °C,°C
2877,3/10/2021 13:25:37.576,Temperature {NONE},57.5, °C,°C
2878,3/10/2021 13:25:38.577,Temperature {NONE},57.5, °C,°C
2879,3/10/2021 13:25:39.578,Temperature {NONE},57.5, °C,°C
2880,3/10/2021 13:25:40.580,Temperature {NONE},57.5, °C,°C
2881,3/10/2021 13:25:41.581,Temperature {NONE},57.5, °C,°C
2882,3/10/2021 13:25:42.581,Temperature {NONE},57.5, °C,°C
2883,3/10/2021 13:25:43.582,Temperature {NONE},57.5, °C,°C
2884,3/10/2021 13:25:44.584,Temperature {NONE},57.5, °C,°C
2885,3/10/2021 13:25:45.585,Temperature {NONE},57.5, °C,°C
2886,3/10/2021 13:25:46.585,Temperature {NONE},57.5, °C,°C
2887,3/10/2021 13:25:47.586,Temperature {NONE},57.5, °C,°C
2888,3/10/2021 13:25:48.587,Temperature {NONE},57.5, °C,°C
2889,3/10/2021 13:25:49.587,Temperature {NONE},57.5, °C,°C
2890,3/10/2021 13:25:50.588,Temperature {NONE},57.4, °C,°C
2891,3/10/2021 13:25:51.588,Temperature {NONE},57.4, °C,°C
2892,3/10/2021 13:25:52.588,Temperature {NONE},57.4, °C,°C
2893,3/10/2021 13:25:53.589,Temperature {NONE},57.4, °C,°C
2894,3/10/2021 13:25:54.591,Temperature {NONE},57.4, °C,°C
2895,3/10/2021 13:25:55.591,Temperature {NONE},57.4, °C,°C
2896,3/10/2021 13:25:56.592,Temperature {NONE},57.4, °C,°C
2897,3/10/2021 13:25:57.593,Temperature {NONE},57.4, °C,°C
2898,3/10/2021 13:25:58.594,Temperature {NONE},57.4, °C,°C
2899,3/10/2021 13:25:59.595,Temperature {NONE},57.4, °C,°C
2900,3/10/2021 13:26:00.596,Temperature {NONE},57.4, °C,°C
2901,3/10/2021 13:26:01.596,Temperature {NONE},57.4, °C,°C
2902,3/10/2021 13:26:02.598,Temperature {NONE},57.4, °C,°C
2903,3/10/2021 13:26:03.599,Temperature {NONE},57.4, °C,°C
2904,3/10/2021 13:26:04.600,Temperature {NONE},57.4, °C,°C
2905,3/10/2021 13:26:05.600,Temperature {NONE},57.4, °C,°C
2906,3/10/2021 13:26:06.602,Temperature {NONE},57.4, °C,°C
2907,3/10/2021 13:26:07.603,Temperature {NONE},57.4, °C,°C
2908,3/10/2021 13:26:08.604,Temperature {NONE},57.4, °C,°C
2909,3/10/2021 13:26:09.605,Temperature {NONE},57.4, °C,°C
2910,3/10/2021 13:26:10.607,Temperature {NONE},57.4, °C,°C
2911,3/10/2021 13:26:11.608,Temperature {NONE},57.4, °C,°C
2912,3/10/2021 13:26:12.609,Temperature {NONE},57.4, °C,°C
2913,3/10/2021 13:26:13.609,Temperature {NONE},57.4, °C,°C
2914,3/10/2021 13:26:14.610,Temperature {NONE},57.3, °C,°C
2915,3/10/2021 13:26:15.611,Temperature {NONE},57.3, °C,°C
2916,3/10/2021 13:26:16.612,Temperature {NONE},57.3, °C,°C
2917,3/10/2021 13:26:17.613,Temperature {NONE},57.3, °C,°C
2918,3/10/2021 13:26:18.615,Temperature {NONE},57.3, °C,°C
2919,3/10/2021 13:26:19.616,Temperature {NONE},57.2, °C,°C
2920,3/10/2021 13:26:20.617,Temperature {NONE},57.2, °C,°C
2921,3/10/2021 13:26:21.618,Temperature {NONE},57.2, °C,°C
2922,3/10/2021 13:26:22.618,Temperature {NONE},57.2, °C,°C
2923,3/10/2021 13:26:23.619,Temperature {NONE},57.3, °C,°C
2924,3/10/2021 13:26:24.621,Temperature {NONE},57.2, °C,°C
2925,3/10/2021 13:26:25.622,Temperature {NONE},57.2, °C,°C
2926,3/10/2021 13:26:26.624,Temperature {NONE},57.2, °C,°C
2927,3/10/2021 13:26:27.625,Temperature {NONE},57.2, °C,°C
2928,3/10/2021 13:26:28.626,Temperature {NONE},57.2, °C,°C
2929,3/10/2021 13:26:29.627,Temperature {NONE},57.2, °C,°C
2930,3/10/2021 13:26:30.628,Temperature {NONE},57.2, °C,°C
2931,3/10/2021 13:26:31.629,Temperature {NONE},57.1, °C,°C
2932,3/10/2021 13:26:32.630,Temperature {NONE},57.1, °C,°C
2933,3/10/2021 13:26:33.631,Temperature {NONE},57.1, °C,°C
2934,3/10/2021 13:26:34.632,Temperature {NONE},57.1, °C,°C
2935,3/10/2021 13:26:35.633,Temperature {NONE},57.1, °C,°C
2936,3/10/2021 13:26:36.635,Temperature {NONE},57.1, °C,°C
2937,3/10/2021 13:26:37.635,Temperature {NONE},57.1, °C,°C
2938,3/10/2021 13:26:38.636,Temperature {NONE},57.1, °C,°C
2939,3/10/2021 13:26:39.637,Temperature {NONE},57.1, °C,°C
2940,3/10/2021 13:26:40.638,Temperature {NONE},57.1, °C,°C
2941,3/10/2021 13:26:41.639,Temperature {NONE},57.1, °C,°C
2942,3/10/2021 13:26:42.641,Temperature {NONE},57.1, °C,°C
2943,3/10/2021 13:26:43.643,Temperature {NONE},57.1, °C,°C
2944,3/10/2021 13:26:44.644,Temperature {NONE},57.1, °C,°C
2945,3/10/2021 13:26:45.646,Temperature {NONE},57.1, °C,°C
2946,3/10/2021 13:26:46.647,Temperature {NONE},57.1, °C,°C
2947,3/10/2021 13:26:47.648,Temperature {NONE},57.1, °C,°C
2948,3/10/2021 13:26:48.649,Temperature {NONE},57.1, °C,°C
2949,3/10/2021 13:26:49.650,Temperature {NONE},57.1, °C,°C
2950,3/10/2021 13:26:50.651,Temperature {NONE},57.1, °C,°C
2951,3/10/2021 13:26:51.652,Temperature {NONE},57.1, °C,°C
2952,3/10/2021 13:26:52.654,Temperature {NONE},57.0, °C,°C
2953,3/10/2021 13:26:53.654,Temperature {NONE},57.1, °C,°C
2954,3/10/2021 13:26:54.655,Temperature {NONE},57.1, °C,°C
2955,3/10/2021 13:26:55.656,Temperature {NONE},57.0, °C,°C
2956,3/10/2021 13:26:56.657,Temperature {NONE},57.0, °C,°C
2957,3/10/2021 13:26:57.658,Temperature {NONE},57.0, °C,°C
2958,3/10/2021 13:26:58.660,Temperature {NONE},57.1, °C,°C
2959,3/10/2021 13:26:59.661,Temperature {NONE},57.0, °C,°C
2960,3/10/2021 13:27:00.662,Temperature {NONE},57.1, °C,°C
2961,3/10/2021 13:27:01.663,Temperature {NONE},57.1, °C,°C
2962,3/10/2021 13:27:02.664,Temperature {NONE},57.1, °C,°C
2963,3/10/2021 13:27:03.664,Temperature {NONE},57.0, °C,°C
2964,3/10/2021 13:27:04.665,Temperature {NONE},57.0, °C,°C
2965,3/10/2021 13:27:05.666,Temperature {NONE},57.0, °C,°C
2966,3/10/2021 13:27:06.666,Temperature {NONE},57.0, °C,°C
2967,3/10/2021 13:27:07.666,Temperature {NONE},57.0, °C,°C
2968,3/10/2021 13:27:08.668,Temperature {NONE},57.0, °C,°C
2969,3/10/2021 13:27:09.668,Temperature {NONE},57.0, °C,°C
2970,3/10/2021 13:27:10.669,Temperature {NONE},57.0, °C,°C
2971,3/10/2021 13:27:11.671,Temperature {NONE},57.0, °C,°C
2972,3/10/2021 13:27:12.671,Temperature {NONE},57.0, °C,°C
2973,3/10/2021 13:27:13.671,Temperature {NONE},57.0, °C,°C
2974,3/10/2021 13:27:14.673,Temperature {NONE},57.0, °C,°C
2975,3/10/2021 13:27:15.674,Temperature {NONE},57.1, °C,°C
2976,3/10/2021 13:27:16.675,Temperature {NONE},57.0, °C,°C
2977,3/10/2021 13:27:17.675,Temperature {NONE},57.0, °C,°C
2978,3/10/2021 13:27:18.677,Temperature {NONE},57.0, °C,°C
2979,3/10/2021 13:27:19.678,Temperature {NONE},57.0, °C,°C
2980,3/10/2021 13:27:20.679,Temperature {NONE},56.9, °C,°C
2981,3/10/2021 13:27:21.680,Temperature {NONE},56.9, °C,°C
2982,3/10/2021 13:27:22.681,Temperature {NONE},56.9, °C,°C
2983,3/10/2021 13:27:23.682,Temperature {NONE},56.9, °C,°C
2984,3/10/2021 13:27:24.684,Temperature {NONE},56.9, °C,°C
2985,3/10/2021 13:27:25.685,Temperature {NONE},56.9, °C,°C
2986,3/10/2021 13:27:26.685,Temperature {NONE},56.9, °C,°C
2987,3/10/2021 13:27:27.686,Temperature {NONE},56.8, °C,°C
2988,3/10/2021 13:27:28.687,Temperature {NONE},56.8, °C,°C
2989,3/10/2021 13:27:29.688,Temperature {NONE},56.8, °C,°C
2990,3/10/2021 13:27:30.690,Temperature {NONE},56.8, °C,°C
2991,3/10/2021 13:27:31.691,Temperature {NONE},56.8, °C,°C
2992,3/10/2021 13:27:32.692,Temperature {NONE},56.8, °C,°C
2993,3/10/2021 13:27:33.692,Temperature {NONE},56.9, °C,°C
2994,3/10/2021 13:27:34.694,Temperature {NONE},56.9, °C,°C
