Serial Number,MY59420041,
Model Number,U1272A,
Remark,-,
Date Time,3/10/2021 2:06:20 PM
Record,Time,Function,Reading,Range,Unit
193,3/10/2021 12:28:49.950,Temperature {NONE},91.1, °C,°C
194,3/10/2021 12:28:50.952,Temperature {NONE},91.1, °C,°C
195,3/10/2021 12:28:51.954,Temperature {NONE},91.0, °C,°C
196,3/10/2021 12:28:52.955,Temperature {NONE},91.0, °C,°C
197,3/10/2021 12:28:53.956,Temperature {NONE},91.0, °C,°C
198,3/10/2021 12:28:54.958,Temperature {NONE},91.0, °C,°C
199,3/10/2021 12:28:55.959,Temperature {NONE},90.9, °C,°C
200,3/10/2021 12:28:56.959,Temperature {NONE},90.9, °C,°C
201,3/10/2021 12:28:57.960,Temperature {NONE},90.8, °C,°C
202,3/10/2021 12:28:58.961,Temperature {NONE},90.8, °C,°C
203,3/10/2021 12:28:59.962,Temperature {NONE},90.8, °C,°C
204,3/10/2021 12:29:00.962,Temperature {NONE},90.8, °C,°C
205,3/10/2021 12:29:01.963,Temperature {NONE},90.9, °C,°C
206,3/10/2021 12:29:02.964,Temperature {NONE},90.8, °C,°C
207,3/10/2021 12:29:03.966,Temperature {NONE},90.9, °C,°C
208,3/10/2021 12:29:04.968,Temperature {NONE},90.9, °C,°C
209,3/10/2021 12:29:05.968,Temperature {NONE},90.9, °C,°C
210,3/10/2021 12:29:06.969,Temperature {NONE},90.9, °C,°C
211,3/10/2021 12:29:07.970,Temperature {NONE},91.0, °C,°C
212,3/10/2021 12:29:08.971,Temperature {NONE},91.0, °C,°C
213,3/10/2021 12:29:09.972,Temperature {NONE},91.0, °C,°C
214,3/10/2021 12:29:10.974,Temperature {NONE},90.9, °C,°C
215,3/10/2021 12:29:11.976,Temperature {NONE},90.9, °C,°C
216,3/10/2021 12:29:12.976,Temperature {NONE},90.8, °C,°C
217,3/10/2021 12:29:13.977,Temperature {NONE},90.7, °C,°C
218,3/10/2021 12:29:14.978,Temperature {NONE},90.6, °C,°C
219,3/10/2021 12:29:15.979,Temperature {NONE},90.6, °C,°C
220,3/10/2021 12:29:16.981,Temperature {NONE},90.7, °C,°C
221,3/10/2021 12:29:17.981,Temperature {NONE},90.7, °C,°C
222,3/10/2021 12:29:18.983,Temperature {NONE},90.6, °C,°C
223,3/10/2021 12:29:19.983,Temperature {NONE},90.5, °C,°C
224,3/10/2021 12:29:20.984,Temperature {NONE},90.6, °C,°C
225,3/10/2021 12:29:21.985,Temperature {NONE},90.6, °C,°C
226,3/10/2021 12:29:22.987,Temperature {NONE},90.6, °C,°C
227,3/10/2021 12:29:23.987,Temperature {NONE},90.6, °C,°C
228,3/10/2021 12:29:24.988,Temperature {NONE},90.6, °C,°C
229,3/10/2021 12:29:25.989,Temperature {NONE},90.6, °C,°C
230,3/10/2021 12:29:26.990,Temperature {NONE},90.5, °C,°C
231,3/10/2021 12:29:27.991,Temperature {NONE},90.3, °C,°C
232,3/10/2021 12:29:28.992,Temperature {NONE},90.2, °C,°C
233,3/10/2021 12:29:29.993,Temperature {NONE},90.2, °C,°C
234,3/10/2021 12:29:30.995,Temperature {NONE},90.1, °C,°C
235,3/10/2021 12:29:31.997,Temperature {NONE},90.1, °C,°C
236,3/10/2021 12:29:32.997,Temperature {NONE},90.2, °C,°C
237,3/10/2021 12:29:33.998,Temperature {NONE},90.1, °C,°C
238,3/10/2021 12:29:35.000,Temperature {NONE},90.1, °C,°C
239,3/10/2021 12:29:36.001,Temperature {NONE},90.0, °C,°C
240,3/10/2021 12:29:37.002,Temperature {NONE},90.0, °C,°C
241,3/10/2021 12:29:38.003,Temperature {NONE},90.1, °C,°C
242,3/10/2021 12:29:39.004,Temperature {NONE},90.0, °C,°C
243,3/10/2021 12:29:40.005,Temperature {NONE},90.0, °C,°C
244,3/10/2021 12:29:41.007,Temperature {NONE},90.0, °C,°C
245,3/10/2021 12:29:42.008,Temperature {NONE},89.9, °C,°C
246,3/10/2021 12:29:43.009,Temperature {NONE},89.9, °C,°C
247,3/10/2021 12:29:44.010,Temperature {NONE},89.9, °C,°C
